Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
2437-11,2437,11,Antitrust,2013-05-07,MMB,DJ,,,,,,checked,,,checked,"LeadCounsel,Communications",,checked,,checked,checked,6
2437-183,2437,183,Antitrust,2016-03-16,MMB,DJ,,,checked,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,3
2437-186,2437,186,Antitrust,2015-03-16,MMB,DJ,,,checked,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,3
2437-631,2437,631,Antitrust,2017-08-23,MMB,DJ,,,,1,,,,,,ClassCounsel,,,,checked,,3
2445-44,2445,44,Antitrust,2013-08-07,MSG,DJ,,checked,,7,,checked,,,,"Communications,LeadCounsel,Management",,,,checked,checked,25
2445-588,2445,588,Antitrust,2019-09-27,MSG,DJ,,,checked,,,,,,,"ClassCounsel,LeadCounsel",checked,,,checked,,8
2460-16,2460,16,Antitrust,2013-10-17,JED,DJ,,,,2,,checked,,,checked,"LeadCounsel,Communications",checked,,,checked,,4
2460-32,2460,32,Antitrust,2013-12-19,JED,DJ,,,,3,,checked,,,,Communications,,,,checked,,3
2460-36,2460,36,Antitrust,2013-12-23,JED,DJ,,,,2,,checked,,,,"LeadCounsel,Communications,Management",,,,checked,,17
2460-688,2460,688,Antitrust,2019-08-14,JED,DJ,,,checked,1,,,,,,LeadCounsel,,,,checked,,3
,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,0
2541-82,2541,82,Antitrust,2014-08-22,CW,DJ,checked,checked,,1,,checked,,,,"LeadCounsel,ClassCounsel",,,,checked,,3
2541-305,2541,305,Antitrust,2015-12-04,CW,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,3
2542-36,2542,36,Antitrust,2014-06-26,VSB,DJ,,,,2,,checked,,,,"LeadCounsel,ClassCounsel,Communications",checked,,,checked,,4
2542-1216,2542,1216,Antitrust,2020-12-16,VSB,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement,checked,,3
2548-12,2548,12,Antitrust,2014-10-02,VEC,DJ,,checked,,,,,,,,Communications,,,,,checked,1
2548-187,2548,187,Antitrust,2016-12-09,VEC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,2
2548-515,2548,515,Antitrust,2021-02-12,VEC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,2
2548-628,2548,628,Antitrust,2022-01-13,VEC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement,checked,,2
2557-42,2557,42,Antitrust,2014-09-15,GAP,DJ,,,,2,,,,,,Communications,,,,checked,checked,2
2557-302,2557,302,Antitrust,2017-02-21,TBS,MJ,,,,,,,,,,Communications,,,,checked,,2
2567-78,2567,78,Antitrust,2014-12-15,GAF,DJ,checked,,,4,,,,,,"LeadCounsel,Communications,ClassCounsel",,,,checked,,7
2567-439,2567,439,Antitrust,2020-06-18,GAF,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement. Oddly appoints firms despite previously appointing individuals as interim class counsel,checked,,4
2567-489,2567,489,Antitrust,2020-11-30,GAF,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement purposes,checked,,3
2567-543,2567,543,Antitrust,2021-03-30,GAF,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement,checked,,3
2573-17,2573,17,Antitrust,2014-11-25,VC,DJ,checked,checked,,1,,,,,,ClassCounsel,checked,,,,,2
2573-166,2573,166,Antitrust,2016-11-22,VC,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement ,checked,,2
2580-78,2580,78,Antitrust,2015-04-02,HDL,DJ,checked,checked,,1,,,,,,"LeadCounsel,ClassCounsel",checked,,,checked,,2
2580-786,2580,786,Antitrust,2022-03-09,HDL,DJ,,,,,,,,,,LeadCounsel,,,,checked,,2
2580-1085,2580,1085,Antitrust,2022-11-03,HDL,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,2
2580-1091,2580,1091,Antitrust,2022-12-15,HDL,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,2
2656-76,2656,76,Antitrust,2016-02-04,CKK,DJ,checked,checked,,2,,,,,,"ClassCounsel,LeadCounsel,Management",checked,,,checked,,5
2656-151,2656,151,Antitrust,2017-01-26,CKK,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel,Management",,,,checked,,5
2656-202,2656,202,Antitrust,2018-01-09,CKK,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel",,,,checked,,2
2656-203,2656,203,Antitrust,2018-01-19,CKK,DJ,,,,,,,,,,"LeadCounsel,ClassCounsel,Management",,,,checked,,5
2626-116,2626,116,Antitrust,2015-10-07,HES,DJ,checked,checked,,2,,checked,,,,"LeadCounsel,ClassCounsel,Trial",checked,checked,,checked,,6
2626-841,2626,841,Antitrust,2018-07-09,HES,DJ,,,checked,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,3
2626-940,2626,940,Antitrust,2018-12-04,HES,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,3
2626-1224,2626,1224,Antitrust,2020-11-10,HES,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints class counsel for settlement ,checked,,3
2626-1257,2626,1257,Antitrust,2021-06-01,HES,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Class counsel for settlement,checked,,3
2626-1343,2626,1343,Antitrust,2022-05-09,HES,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Class counsel for settlement,checked,,3
2626-1362,2626,1362,Antitrust,2022-10-12,HES,DJ,,,,,,,,,,"ClassCounsel,Settlement",checked,,Class counsel for settlement,checked,,3
2850-106,2850,106,Antitrust,2018-11-06,JFC,DJ,checked,checked,,1,,checked,,,,"LeadCounsel,ClassCounsel",checked,checked,,checked,,2
2850-117,2850,117,Antitrust,2018-11-13,JFC,DJ,checked,checked,,1,,checked,,,,Coordination,,checked,"No permission for the appointment order (ECF: 112, November 7, 2018), so coded the duties order.",checked,,1
2850-314,2850,314,Antitrust,2020-08-26,JFC,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel,LeadCounsel",checked,,,checked,,2
2842-119,2842,119,Antitrust,2018-08-16,MSS,DJ,checked,checked,,2,,checked,,,,"LeadCounsel,Management",checked,checked,,checked,,5
2842-241,2842,241,Antitrust,2019-04-16,MSS,DJ,checked,,,,,,,,,"LeadCounsel,Management",,,Justice switched firms and Kessler tried to replace her but the court denied.,checked,,1
2842-268,2842,268,Antitrust,2019-08-08,MSS,DJ,checked,checked,,,,,,,,"LeadCounsel,Management",,,,checked,,6
2842-178,2842,178,Antitrust,2018-11-09,MSS,DJ,,,,,,,,,,Management,,,,checked,,2
2842-302,2842,302,Antitrust,2020-03-24,MSS,DJ,,,,,,,,,,"LeadCounsel,Coordination",,,,,,7
2842-334,2842,334,Antitrust,2021-03-01,MSS,DJ,,,,,,,,,,"LeadCounsel,Management",,,,checked,,6
2842-357,2842,357,Antitrust,2022-02-23,MSS,DJ,,,,,,,,,,"LeadCounsel,Management",,,,checked,,6
2836-105,2836,105,Antitrust,2018-08-15,RBS,DJ,checked,checked,,11,,,,,,"LeadCounsel,ClassCounsel,Coordination",checked,checked,,checked,checked,29
2836-751,2836,751,Antitrust,2019-11-22,RBS,DJ,,,,1,,,,,,"Settlement,LeadCounsel,ClassCounsel",checked,,,checked,,2
2785-40,2785,40,Sales Practices,2017-09-12,DDC,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Communications,Management",,checked,,checked,checked,13
2836-1316,2836,1316,Antitrust,2021-08-20,RBS,DJ,,,checked,2,,,,,,"ClassCounsel,Coordination,LeadCounsel",checked,,,checked,,3
2836-1570,2836,1570,Antitrust,2022-06-08,DEM,MJ,,,,,,,,,,LeadCounsel,,,,,checked,4
2785-491,2785,491,Sales Practices,2018-04-30,DDC,DJ,,,,,,,,,,Communications,,,,,checked,1
2785-522,2785,522,Sales Practices,2018-05-15,DCC,DJ,,,,,,,,,,Communications,,,,,checked,1
2785-2077,2785,2077,Sales Practices,2020-03-10,DCC,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,5
2785-2111,2785,2111,Sales Practices,2020-06-24,DDC,DJ,,,,,,,,,,Management,,,,checked,,2
2785-2317,2785,2317,Sales Practices,2021-01-28,DDC,DJ,,,,,,,,,,"Management,Communications",,,,checked,checked,3
2773-31,2773,31,Antitrust,2017-05-15,LCK,DJ,checked,checked,,2,,,,,,"Management,LeadCounsel",,,,checked,,5
2773-251,2773,251,Antitrust,2017-12-22,LHK,DJ,,,,,,,,,,"LeadCounsel,Management",,,,checked,,4
2773-760,2773,760,Antitrust,2018-09-27,LHK,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,2
2516-94,2516,94,Antitrust,2014-06-16,SRU,DJ,checked,checked,,3,,checked,,,,"Management,Communications,LeadCounsel",,,,checked,,12
2516-95,2516,95,Antitrust,2014-06-16,SRU,DJ,checked,checked,,3,,,,,,"LeadCounsel,Communications,Management",,,,checked,,9
2516-685,2516,685,Antitrust,2017-09-19,SRU,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints the entire leadership team from #94 as class counsel for settlement ,checked,,12
2516-766,2516,766,Antitrust,2018-03-06,SRU,DJ,,,,1,,,,,,ClassCounsel,,,Appoints the entire leadership slate from #95 as class counsel,,,9
2472-85,2472,85,Antitrust,2014-02-14,WES,DJ,,,,3,,checked,,,,"Communications,LeadCounsel,Management",checked,,,checked,,16
2472-1226,2472,1126,Antitrust,2019-09-17,WES,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,5
2472-10,2472,10,Antitrust,2013-10-08,WES,DJ,,,,1,,,,,,ClassCounsel,,,,checked,,8
2472-90,2472,90,Antitrust,2014-02-28,WES,DJ,,,,2,,checked,,,,"Communications,LeadCounsel",checked,,,checked,,5
2472-1050,2472,1050,Antitrust,2019-07-02,WES,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,4
2472-1278,2472,1278,Antitrust,2018-10-31,WES,DJ,,,,2,,,,,,"LeadCounsel,ClassCounsel,Communications",checked,,Appoints counsel for settlement purposes,checked,,5
2819-50,2819,50,Antitrust,2018-04-04,NG,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Management,ClassCounsel,Coordination",checked,,,checked,,11
2819-51,2819,51,Antitrust,2018-04-04,NG,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Management,Coordination",checked,,,checked,,6
2819-501,2819,501,Antitrust,2020-05-05,NG,DJ,,,checked,2,,,,,,"LeadCounsel,ClassCounsel,Coordination",checked,,,checked,,4
2819-562,2819,562,Antitrust,2020-10-07,NG,DJ,,,checked,1,,,,,,"Settlement,LeadCounsel,ClassCounsel",checked,,,checked,,11
2796-223,2796,223,Antitrust,2017-12-14,CRB,DJ,,checked,,2,,checked,,,,"LeadCounsel,Management",,,,checked,,11
2801-385,2801,385,Antitrust,2018-11-14,JD,DJ,,,checked,1,,,,,,ClassCounsel,,,,checked,,1
2801-1344,2801,1344,Antitrust,2020-07-17,JD,DJ,,,,1,,,,,,Settlement,checked,,,checked,,1
2801-1551,2801,1551,Antitrust,2021-10-21,JD,DJ,,,,,,checked,,,,Settlement,,,,checked,,1
2801-1665,2801,1665,Antitrust,2022-03-23,JD,DJ,,,,,,,,,,Settlement,checked,,,checked,,1
2817-123,2817,123,Antitrust,2018-04-16,AJS,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Management,Communications,Coordination",checked,checked,,checked,,9
2817-944,2817,944,Antitrust,2020-05-10,RMD,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,9
2817-333,2817,333,Antitrust,2018-08-16,RMD,DJ,,,,1,,,,,,"ClassCounsel,LeadCounsel",,,,checked,,1
2817-644,2817,644,Antitrust,2019-04-24,RMD,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,9
2817-1285,2817,1285,Antitrust,2021-04-19,RMD,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,9
2817-1340,2817,1340,Antitrust,2022-04-07,RMD,DJ,,,,,,,,,,"LeadCounsel,Coordination",,,,checked,,2
2817-1343,2817,1343,Antitrust,2022-04-12,RMD,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,9
2817-1379,2817,1379,Antitrust,2023-04-18,RMD,DJ,,,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,,9
2406-199,2406,1999,Antitrust,2014-06-12,RDP,DJ,,,,,,,,,,Expert,,,,checked,,2
2406-374,2406,374,Antitrust,2015-06-15,RDP,DJ,,,,,,,,,,Discovery,,,,,,1
2406-2461,2406,2461,Antitrust,2020-11-30,RDP,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Class counsel appointed for settlement,checked,,3
2406-2673,2406,2673,Antitrust,2021-01-25,RDP,DJ,,,,,,,,,,Management,,,,checked,,1
2406-2931,2406,2931,Antitrust,2022-08-09,RDP,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,Appoints firms as class counsel despite appointing individuals in the preliminary approval,checked,,3
2406-3011,2406,3011,Antitrust,2022-12-09,RDP,DJ,,,,1,,,,,,SettlementAdministration,,,Appoints a monitoring committee to ensure compliance with the settlement,checked,checked,8
2296-2179,2296,2179,Miscellanous,2013-01-11,WHP,DJ,,,,,,,,,,Communications,,,,,checked,3
2296-2445,2296,2445,Miscellanous,2013-04-10,RJS,DJ,,,,,,,,,,Management,,,,,checked,3
2296-7566,2296,7566,Miscellanous,2018-06-28,RJS,DJ,,,,,,,,,,Management,,,,,checked,1
2504-377,2504,377,Employment Practices ,2024-12-13,DJH,DJ,,,,,,,,,,ClassCounsel,checked,,Final approval of class settlement,checked,,5
2599-4689,2599,4689,Products Liability,2023-08-23,FAM,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Class counsel for case against GM,checked,,8
2599-4856,2599,4856,Products Liability,2025-02-26,FAM,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Class counsel for case against Mercedes-Benz,checked,,7
